frame_idx,subframe_idx,dx,dy,dtheta,arrive,infer_time_s
1,0,-0.060628255208333336,0.7194010416666667,4.420279502868652,0,3.0242910385131836
1,1,-0.17903645833333334,1.2434895833333335,13.3727445602417,0,0.0
1,2,-0.3483072916666667,1.5169270833333335,19.359704971313477,0,0.0
1,3,-0.43294270833333337,1.9140625,16.785871505737305,0,0.0
1,4,-0.5013020833333334,2.2395833333333335,27.30501937866211,0,0.0
2,0,-0.029500325520833336,0.5989583333333334,4.755997180938721,0,2.8267319202423096
2,1,-0.08219401041666667,0.7552083333333334,22.381162643432617,0,0.0
2,2,-0.19205729166666669,0.8854166666666667,34.24317932128906,0,0.0
2,3,-0.15787760416666669,0.9375,51.029052734375,0,0.0
2,4,-0.16520182291666669,1.0611979166666667,83.25792694091797,0,0.0
3,0,-0.0201416015625,0.2506510416666667,8.616747856140137,0,2.7931251525878906
3,1,-0.05900065104166667,0.39876302083333337,27.081207275390625,0,0.0
3,2,-0.1171875,0.43294270833333337,38.94322204589844,0,0.0
3,3,-0.10050455729166667,0.4654947916666667,64.45774841308594,0,0.0
3,4,-0.11881510416666667,0.5533854166666667,96.23899841308594,0,0.0
4,0,-0.012613932291666668,0.11149088541666667,8.504841804504395,0,2.8032615184783936
4,1,-0.04130045572916667,0.23111979166666669,27.52882957458496,0,0.0
4,2,-0.09195963541666667,0.23763020833333334,40.95752716064453,0,0.0
4,3,-0.09602864583333334,0.263671875,72.51496887207031,0,0.0
4,4,-0.1220703125,0.30598958333333337,103.40097045898438,0,0.0
5,0,-0.01190185546875,0.05655924479166667,10.12747573852539,0,3.130023956298828
5,1,-0.03458658854166667,0.15218098958333334,28.088359832763672,0,0.0
5,2,-0.09358723958333334,0.15706380208333334,41.4051513671875,0,0.0
5,3,-0.11881510416666667,0.1708984375,73.41021728515625,0,0.0
5,4,-0.17578125,0.205078125,94.89613342285156,0,0.0
6,0,-0.016581217447916668,0.024617513020833336,7.889359951019287,0,2.9954395294189453
6,1,-0.029703776041666668,0.08382161458333334,18.128742218017578,0,0.0
6,2,-0.07893880208333334,0.10294596354166667,33.795555114746094,0,0.0
6,3,-0.07771809895833334,0.10579427083333334,77.4388198852539,0,0.0
6,4,-0.09562174479166667,0.1171875,108.3248291015625,0,0.0
7,0,-0.012156168619791668,0.045166015625,8.728652954101562,0,3.127516746520996
7,1,-0.030517578125,0.12369791666666667,21.262104034423828,0,0.0
7,2,-0.0927734375,0.14729817708333334,33.124122619628906,0,0.0
7,3,-0.1025390625,0.16194661458333334,62.66725540161133,0,0.0
7,4,-0.14729817708333334,0.21158854166666669,85.04841613769531,0,0.0
8,0,-0.011342366536458334,0.03458658854166667,6.68637228012085,0,3.19640851020813
8,1,-0.022989908854166668,0.0927734375,14.995378494262695,0,0.0
8,2,-0.07364908854166667,0.12532552083333334,29.99075698852539,0,0.0
8,3,-0.06306966145833334,0.13102213541666669,68.48635864257812,0,0.0
8,4,-0.07527669270833334,0.15218098958333334,98.02949523925781,0,0.0
9,0,-0.012868245442708334,0.035400390625,7.497689247131348,0,3.278904676437378
9,1,-0.017293294270833336,0.10050455729166667,16.002531051635742,0,0.0
9,2,-0.068359375,0.12613932291666669,28.871700286865234,0,0.0
9,3,-0.06306966145833334,0.1318359375,56.62434005737305,0,0.0
9,4,-0.07486979166666667,0.16520182291666669,81.01980590820312,0,0.0
10,0,-0.007171630859375,0.020243326822916668,9.511994361877441,0,3.5380282402038574
10,1,-0.0115966796875,0.08015950520833334,21.262104034423828,0,0.0
10,2,-0.06876627604166667,0.09806315104166667,36.257484436035156,0,0.0
10,3,-0.08341471354166667,0.10335286458333334,66.24824523925781,0,0.0
10,4,-0.10498046875,0.13671875,76.99119567871094,0,0.0
11,0,-0.008341471354166668,0.022989908854166668,8.560794830322266,0,3.5250558853149414
