timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
805703.0847355, -9.6103140771389, -0.24668713049031796, 0.48813427867367865, 0.1006089299917221, 0.17753788828849792, 0.0697641670703888
805703.0946695, -9.680518671870232, -0.25372227195650343, 0.48439167693257335, 0.07952947914600372, 0.15798255801200867, 0.07281429320573807
805703.1046025001, -9.683214238286018, -0.2677932446775958, 0.5581885816901923, 0.06012393906712532, 0.15103264153003693, 0.07528437674045563
805703.1145365001, -9.569898707270623, -0.25357261064462366, 0.6560844203084708, 0.0454547144472599, 0.14429643750190735, 0.0731692910194397
805703.1244695, -9.559719874262811, -0.24743551927618684, 0.7679024976678193, 0.03418528288602829, 0.14884191751480103, 0.0592617392539978
805703.1344035, -9.605076726078988, -0.2215392883680761, 0.8526261491328478, 0.0275737177580595, 0.16166290640830994, 0.04932894557714462
805703.1443365001, -9.617351201176644, -0.2074686856660992, 0.8806181226298213, 0.030874954536557198, 0.16339457035064697, 0.03827637434005737
805703.1542705001, -9.639354858398438, -0.1993852480687201, 0.8526264780387283, 0.03307472541928291, 0.14349676668643951, 0.02659628354012966
805703.1642045, -9.685308710932732, -0.20866623197682202, 0.8503805625066162, 0.03484893962740898, 0.11390231549739838, 0.017012018710374832
805703.1741375, -9.740992330312729, -0.1981878479383886, 0.8253833135962486, 0.03193996846675873, 0.09458906948566437, 0.010294461622834206
805703.1840715001, -9.753716456294061, -0.1808240385632962, 0.7996365612745285, 0.029648777097463608, 0.08103713393211365, 0.007720665540546179
805703.1940045, -9.742489217519761, -0.143252133121714, 0.7505390628799796, 0.03422248736023903, 0.06445282697677612, 0.0077907065860927105
805703.2039385, -9.712102991938592, -0.0904120512586087, 0.7168585160002112, 0.03462955355644226, 0.05328768491744995, 0.008173184469342232
805703.2138715001, -9.699828516840935, -0.07843693532980979, 0.7035360736772418, 0.044824134558439255, 0.06022122502326965, 0.011061915196478367
805703.2238055001, -9.660611241459847, -0.07783818958327175, 0.6550368185341359, 0.0621599443256855, 0.06865981221199036, 0.013286055997014046
805703.2337395, -9.610314661860466, -0.09145993625745177, 0.6110286635532975, 0.07615858316421509, 0.0679926946759224, 0.013661295175552368
805703.2436725, -9.551187032461167, -0.09385491010732949, 0.6237521317228675, 0.07320137321949005, 0.07902802526950836, 0.0209269467741251
805703.2536065001, -9.487419052720071, -0.12588810447603466, 0.646803938895464, 0.06702017784118652, 0.08912726491689682, 0.02874678559601307
805703.2635395001, -9.526339289546014, -0.15657434703782203, 0.6713529256358743, 0.05597029998898506, 0.07503895461559296, 0.036920275539159775
805703.2734735, -9.601632716059685, -0.18890710157342255, 0.6515943434089423, 0.04002542048692703, 0.035260118544101715, 0.04819716513156891
805703.2834065, -9.62438540160656, -0.2532732332032174, 0.6637188739702106, 0.02384996972978115, -0.0032225754112005234, 0.06294675171375275
805703.2933405001, -9.682017313241959, -0.31299910585395996, 0.6795856956392528, 0.008349041454494, -0.02144685387611389, 0.06916496157646179
805703.3032745001, -9.7029719799757, -0.3481758729927242, 0.7101227428391577, -0.0063987248577177525, -0.03441593796014786, 0.07886627316474915
805703.3132075, -9.725576146245004, -0.3709285128582269, 0.698297480084002, -0.014859321527183056, -0.047884609550237656, 0.08216007053852081
805703.3231415, -9.765990931391716, -0.4108956571016461, 0.6975486710295081, -0.016653113067150116, -0.04720713198184967, 0.08675068616867065
