timestamp, frame, x, y, z, qx, qy, qz, qw
805729.771789291, 001600, 19.83619, -0.050546728, -5.4566407, -0.38241544, 0.0435246, -0.9227759, -0.018671408
805729.788465041, 001601, 19.85041, -0.050662186, -5.4524817, -0.378658, 0.04226049, -0.9243785, -0.01888275
805729.805140458, 001602, 19.864664, -0.051108427, -5.4482927, -0.37502703, 0.04136361, -0.9258915, -0.019200385
805729.821816041, 001603, 19.882023, -0.052025273, -5.444781, -0.37122887, 0.04059167, -0.9274494, -0.019468116
805729.838491541, 001604, 19.898104, -0.053066544, -5.4409003, -0.36734343, 0.039897766, -0.9290276, -0.019355878
805729.855167291, 001605, 19.91324, -0.054198872, -5.436771, -0.36379007, 0.0393964, -0.9304551, -0.018921273
805729.871842708, 001606, 19.928137, -0.055436872, -5.432586, -0.36077115, 0.039193287, -0.9316504, -0.01831916
805729.888518416, 001607, 19.943035, -0.05675487, -5.428391, -0.35811317, 0.039059173, -0.93269587, -0.017540775
805729.905193916, 001608, 19.958063, -0.05810894, -5.4241786, -0.35546696, 0.038913913, -0.9337309, -0.016598303
805729.921869583, 001609, 19.973282, -0.059482682, -5.4199157, -0.35250345, 0.03876427, -0.9348761, -0.015664112
805729.938544958, 001610, 19.991423, -0.060309432, -5.4154453, -0.34941354, 0.038553257, -0.9360588, -0.014750521
805729.955220833, 001611, 20.007805, -0.061459318, -5.411122, -0.34634492, 0.038590964, -0.937212, -0.0137705775
805729.971896166, 001612, 20.023582, -0.06262386, -5.4068227, -0.3431695, 0.038860407, -0.9383822, -0.012782764
805729.988571833, 001613, 20.039045, -0.0636796, -5.40253, -0.33994275, 0.038924593, -0.9395672, -0.011714915
805730.005247416, 001614, 20.054243, -0.06460613, -5.3982983, -0.3367099, 0.038594145, -0.9407561, -0.0107154725
805730.021923083, 001615, 20.070826, -0.06449812, -5.393737, -0.3334199, 0.0380316, -0.9419587, -0.009921661
805730.038598458, 001616, 20.086353, -0.064513266, -5.3894897, -0.33004814, 0.03736593, -0.94317794, -0.009347142
805730.05527425, 001617, 20.101208, -0.064509064, -5.385335, -0.32631245, 0.03680782, -0.9445032, -0.008893905
805730.071949708, 001618, 20.115913, -0.06435059, -5.3809743, -0.3220495, 0.036957406, -0.9459628, -0.008524628
805730.088625333, 001619, 20.130598, -0.06395316, -5.376345, -0.31783524, 0.03832884, -0.94733655, -0.008063186
805730.10530075, 001620, 20.145243, -0.06325893, -5.371471, -0.3141354, 0.04094802, -0.9484673, -0.0072050896
805730.121976541, 001621, 20.159733, -0.062323906, -5.3663645, -0.31042928, 0.04427192, -0.94954735, -0.0057817493
805730.138652, 001622, 20.17568, -0.060727328, -5.3611546, -0.30629373, 0.04719257, -0.9507588, -0.003825513
805730.15532775, 001623, 20.192858, -0.05859574, -5.355827, -0.3014491, 0.04953782, -0.9521929, -0.0017512174
805730.172003041, 001624, 20.207628, -0.057054758, -5.3501663, -0.2959402, 0.05146421, -0.95381904, -3.2223626e-05
805730.188678833, 001625, 20.22146, -0.055724084, -5.3443637, -0.2902548, 0.053066712, -0.9554761, 0.0012246901
805730.20535425, 001626, 20.234827, -0.054477204, -5.3385625, -0.2849802, 0.05463499, -0.95697314, 0.0019173189
805730.222029958, 001627, 20.247728, -0.053354423, -5.3328414, -0.28049603, 0.05644825, -0.9581919, 0.0019759412
805730.238705416, 001628, 20.261295, -0.052142873, -5.327235, -0.27684766, 0.058637608, -0.9591218, 0.0014737793
805730.255381125, 001629, 20.277218, -0.050565857, -5.321719, -0.2734624, 0.0608628, -0.95995504, 0.0005537719
805730.272056541, 001630, 20.290638, -0.049596928, -5.3159885, -0.26975116, 0.0624732, -0.9609012, -0.0004439037
805730.288732291, 001631, 20.303207, -0.0489423, -5.3101516, -0.26595572, 0.06337689, -0.96189874, -0.0013254096
805730.305407791, 001632, 20.315506, -0.048488047, -5.304267, -0.26247936, 0.0636816, -0.96283215, -0.0018843655
805730.322083375, 001633, 20.32759, -0.04823738, -5.298296, -0.25938472, 0.063817434, -0.9636611, -0.002049061
805730.338758916, 001634, 20.344398, -0.0481976, -5.291412, -0.25650954, 0.06384715, -0.96442866, -0.0019293616
805730.3554345, 001635, 20.357986, -0.04836693, -5.284987, -0.25384548, 0.06374832, -0.96514046, -0.0015412878
805730.37211, 001636, 20.370495, -0.048732832, -5.2786593, -0.25141457, 0.0635041, -0.9657934, -0.0009876547
805730.388785666, 001637, 20.38259, -0.04930591, -5.2723236, -0.2493049, 0.062962405, -0.966376, -0.00034118968
805730.405461208, 001638, 20.394512, -0.050083704, -5.2658925, -0.24748608, 0.062310938, -0.9668856, 0.0002405384
805730.422136833, 001639, 20.406288, -0.051028967, -5.259331, -0.24599242, 0.061515175, -0.9673174, 0.0008378768
805730.43881225, 001640, 20.423168, -0.052308757, -5.2521067, -0.24467053, 0.06100946, -0.96768403, 0.0013286233
805730.455487958, 001641, 20.436562, -0.05355117, -5.244955, -0.24352084, 0.060656793, -0.967995, 0.0020366397
805730.472163375, 001642, 20.44879, -0.054799832, -5.2376857, -0.24261926, 0.060076494, -0.9682552, 0.0028990763
805730.488839166, 001643, 20.460653, -0.05606722, -5.230217, -0.24191865, 0.05935372, -0.96847224, 0.0037478146
805730.505514666, 001644, 20.472475, -0.05734993, -5.2224627, -0.24121153, 0.05884388, -0.96867687, 0.0044047413
805730.522190333, 001645, 20.484278, -0.058581386, -5.214423, -0.24055067, 0.05846588, -0.9688613, 0.0049906853
805730.538865666, 001646, 20.50068, -0.058520615, -5.2049727, -0.24010187, 0.058080036, -0.9689931, 0.00548112
805730.555541458, 001647, 20.513891, -0.059082218, -5.1961637, -0.24004248, 0.057686992, -0.9690286, 0.0059468285
805730.572216833, 001648, 20.525986, -0.05971322, -5.1875315, -0.24034598, 0.057246193, -0.968977, 0.0063473363
805730.588892541, 001649, 20.537619, -0.06019678, -5.1789227, -0.24061832, 0.056681912, -0.9689407, 0.0066325795
805730.605568041, 001650, 20.5491, -0.060362022, -5.1702123, -0.24062198, 0.05619274, -0.968967, 0.0068082213
805730.622243791, 001651, 20.562515, -0.060655706, -5.1604147, -0.24047437, 0.05592803, -0.9690173, 0.0070387735
805730.638919208, 001652, 20.575323, -0.060571354, -5.150835, -0.24004437, 0.05578986, -0.96912843, 0.0074966936
805730.655594875, 001653, 20.586966, -0.059867166, -5.141791, -0.23929727, 0.05492158, -0.96935636, 0.008286349
805730.672270333, 001654, 20.598207, -0.05880665, -5.1328964, -0.23796901, 0.053493787, -0.9697552, 0.009170908
805730.688946083, 001655, 20.609224, -0.05754892, -5.124043, -0.23637463, 0.051990323, -0.97021717, 0.010130989
805730.705621375, 001656, 20.620037, -0.056115184, -5.115223, -0.23482768, 0.05045393, -0.97066456, 0.010981001
805730.722297166, 001657, 20.630774, -0.05404434, -5.1081486, -0.23342502, 0.049035627, -0.97106886, 0.011550663
805730.738972541, 001658, 20.641367, -0.052153207, -5.1006737, -0.23191555, 0.048059553, -0.9714788, 0.011586866
805730.755648333, 001659, 20.651787, -0.050666478, -5.0923367, -0.23020315, 0.047736183, -0.9719082, 0.011051792
